numero,fecha_dl,nop,litros,rcs,mc
3498,23/03/09,1,19,317,1
3500,17/03/09,1,34,856,1
3501,24/09/09,1,"31,8",919,1
3502,04/04/09,1,"23,4",876,1
3505,02/07/09,1,"24,4",106,1
3508,27/03/09,1,"25,6",942,1
3511,21/07/09,1,"22,6",111,1
3512,29/03/09,1,"25,8",848,1
3516,09/04/09,1,23,901,1
3517,07/04/09,1,"21,4",346,1
3519,05/09/09,1,"38,8",417,1
3520,23/06/09,1,"23,4",113,1
3521,12/09/09,1,"28,8",901,1
3522,02/04/09,1,"22,4",77,1
3524,01/01/10,1,,,0
3525,20/07/09,1,"22,2",106,1
3526,01/01/10,1,,,0
3527,10/07/09,1,33,75,1
3528,12/07/09,1,"23,2",897,1
3529,18/07/09,1,"26,2",929,1
3530,28/09/09,1,"22,8",860,1
3537,26/11/09,1,"25,6",944,1
3538,26/08/09,1,25,1354,1
3539,06/04/09,1,23,770,1
3542,18/08/09,1,"23,2",762,1
3544,26/08/09,1,"29,4",885,1
3545,26/08/09,1,"20,8",156,1
3548,28/09/09,1,"21,6",341,1
3549,19/06/09,1,13,1237,1
3550,01/08/09,1,"20,2",2539,1
3551,14/11/09,1,"23,2",41,1
3554,24/07/09,1,"19,2",902,1
3556,21/07/09,1,"21,4",25,1
3559,17/08/09,1,,,0
3589,04/10/09,1,"27,2",717,1
3649,02/10/09,1,,,0
a2441,14/02/07,5,"19,8",127,1
A2446,24/04/09,3,34,881,1
A2450,10/12/09,4,"24,2",158,1
